
0.2     1.874
0.4     2.204
0.6     2.236
0.8     2.308
1     1.696
1.2     2.025
1.4     1.854
1.6     2.588
1.8     2.462
2     1.981
2.2     2.711
2.4     2.986
2.6     2.154
2.8     3.467
3     2.904
3.2     3.205
3.4     2.907
3.6     2.705
3.8     3.608
4     3.284
4.2     3.317
4.4      3.74
4.6     2.999
4.8     3.668
5     4.377
5.2     3.949
5.4     3.243
5.6     3.568
5.8      4.67
6     4.261
6.2     4.526
6.4     4.028
6.6      3.35
6.8     4.076
7     3.871
7.2     4.596
7.4     4.688
7.6     4.253
7.8     4.294
8      4.17
8.2     4.634
8.4     4.894
8.6     4.462
8.8     5.178
9     4.476
9.2     4.659
9.4     5.051
9.6     5.335
9.8     5.155
10     5.295
10.2     5.163
10.4     5.232
10.6     5.754
10.8     4.897
11     5.224
11.2     5.262
11.4     5.496
11.6      5.36
11.8     5.165
12     6.228
12.2     6.259
12.4     5.751
12.6     5.844
12.8     5.581
13     5.694
13.2      6.03
13.4     6.035
13.6     5.993
13.8      6.36
14     6.176
14.2     7.127
14.4     5.358
14.6     6.427
14.8     6.411
15     6.859
15.2     6.583
15.4     7.196
15.6     7.083
15.8     6.999
16     7.011
16.2     6.875
16.4     7.453
16.6      6.98
16.8     7.176
17     7.125
17.2     7.349
17.4     8.393
17.6     7.453
17.8     6.748
18     7.472
18.2     6.918
18.4     7.121
18.6     7.861
18.8     7.661
19     8.316
19.2     8.061
19.4      7.61
19.6     7.866
19.8     8.156
20     8.102
