     3     48     26.924     4        0
     5     54     22.015     2        0
     8     90     25.225     1        0
     11     66     24.721     0        0
     22     66     18.408     4        0
     32     72     28.57     3        0
     38     60     23.634     2        0
     51     42     24.338     4        0
     56     114     25.63     2        0
     64     54     19.595     4        0
     68     48     22.782     1        0
     88     36     27.062     2        0
     91     72     28.866     1        0
     97     54     19.668     3        0
     121     36     0     2        0
     125     72     27.3     2        0
     147     54     20.559     4        0
     156     48     19.905     0        0
     161     30     18.616     4        0
     173     48     25.252     2        0
     179     36     20.854     0        0
     184     72     19.97     4        0
     204     66     21.543     1        0
     220     36     21.582     4        0
     228     108     28.065     3        0
     233     54     21.752     0        0
     236     6     23.969     2        0
     250     54     24.736     0        0
     275     84     22.87     4        0
     276     18     0     4        0
     278     30     18.762     2        0
     279     48     23.993     4        0
     283     90     23.289     0        0
     287     42     0     3        0
     302     6     0     4        0
     308     102     20.889     3        0
     312     60     24.369     0        0
     320     66     28.525     4        0
     325     102     21.187     2        0
     326     24     0     4        0
     327     42     19.821     3        0
     327     42     19.821     3        0
     327     42     19.821     3        0
     327     42     19.821     3        0
     327     42     19.821     3        0
     327     42     19.821     3        0
     329     66     28.19     4        0
     336     84     25.486     0        0
     349     36     25.614     1        0
     353     102     24.493     2        0
     359     78     23.489     4        0
     363     12     22.389     3        0
     370     66     25.147     4        0
     381     66     18.586     4        0
     387     54     0     2        0
     391     24     0     4        0
     395     42     26.556     3        0
     420     54     18.758     1        0
     433     30     0     0        0
     434     72     26.398     2        0
     442     72     27.574     3        0
     445     72     22.712     2        0
     448     36     0     0        0
     458     30     18.098     2        0
     477     24     0     0        0
     482     36     22.809     4        0
     486     60     27.159     1        0
     487     72     23.241     2        0
     497     12     28.973     1        0
     530     66     24.459     2        0
